model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
XGBoost_grid_1_AutoML_1_20221211_171225_model_5,0.8331880131799567,0.4267324257062554,0.634811083244863,0.2487439979143651,0.3737911350596147,0.1397198126491551,428,0.018392,XGBoost
XGBoost_grid_1_AutoML_1_20221211_171225_model_15,0.8320610553905203,0.4276755716168964,0.6352664456060629,0.2524987073772357,0.3741535679611748,0.1399908924180774,449,0.013727,XGBoost
GBM_grid_1_AutoML_1_20221211_171225_model_14,0.8320519002208576,0.425747486183659,0.6376698047981327,0.2454629594914259,0.3741365805539485,0.1399781809086011,490,0.027526,GBM
XGBoost_grid_1_AutoML_1_20221211_171225_model_6,0.8317641663171716,0.4276524114139842,0.6330692715764045,0.2499568399144471,0.3744099697807078,0.1401828254711905,496,0.013793,XGBoost
XGBoost_grid_1_AutoML_1_20221211_171225_model_8,0.8311969817585424,0.4285336103421309,0.6291616847138798,0.2489334227342917,0.3747015283908611,0.1404012353784473,457,0.009916,XGBoost
GBM_grid_1_AutoML_1_20221211_171225_model_4,0.8309798734493976,0.428060040346735,0.6331963502435728,0.2492272600844193,0.3748073250165926,0.1404805308860936,364,0.024209,GBM
XGBoost_grid_1_AutoML_1_20221211_171225_model_3,0.8307546998717404,0.4272669351979826,0.6326620822338067,0.2448493451437929,0.3739512442469774,0.1398395330738626,282,0.009924,XGBoost
XGBoost_grid_1_AutoML_1_20221211_171225_model_9,0.8299985264536447,0.4277486203441857,0.6298360839323046,0.2545004198299231,0.3748933119887024,0.1405449953738586,314,0.009071,XGBoost
GBM_grid_1_AutoML_1_20221211_171225_model_1,0.8297816361247301,0.4281353683331301,0.6357213458708048,0.2526408304872381,0.3746992456587726,0.1403995246972532,685,0.023759,GBM
GBM_1_AutoML_1_20221211_171225,0.8294542298191723,0.4271838735905312,0.6379510920712965,0.256982996670134,0.3747246908602197,0.1404185939402871,1171,0.019162,GBM
XGBoost_grid_1_AutoML_1_20221211_171225_model_7,0.8293918874733738,0.4300275979307846,0.6282831179981102,0.2496109052893338,0.3762257654404122,0.1415458265812241,418,0.008341,XGBoost
XGBoost_grid_1_AutoML_1_20221211_171225_model_10,0.8293282372461946,0.4296555462780268,0.6276328553194094,0.2488930963917296,0.3760188040572698,0.1413901410046594,390,0.00918,XGBoost
XGBoost_grid_1_AutoML_1_20221211_171225_model_1,0.8293005537569765,0.4984456867016579,0.62706274172135,0.2584920738028743,0.4123105342632193,0.1699999766644213,479,0.007555,XGBoost
XGBoost_grid_1_AutoML_1_20221211_171225_model_18,0.8286677571490976,0.4313304154870396,0.6247007048525612,0.2477371472316946,0.3767168249706035,0.1419155662159323,345,0.009048,XGBoost
GBM_grid_1_AutoML_1_20221211_171225_model_6,0.8286492288295422,0.4300778955443329,0.6310794905275109,0.2545525171049086,0.3757487764303292,0.1411871429888895,380,0.019132,GBM
GBM_grid_1_AutoML_1_20221211_171225_model_11,0.8274802008557032,0.4312560443924596,0.6294706547869432,0.2593709700904967,0.3760619313590475,0.1414225762174969,438,0.018347,GBM
XGBoost_grid_1_AutoML_1_20221211_171225_model_19,0.8268744337963523,0.4992231111746729,0.6276298937143115,0.2545121907623466,0.4111467664723995,0.1690416635807098,469,0.010631,XGBoost
XGBoost_grid_1_AutoML_1_20221211_171225_model_26,0.8264395632373727,0.4344516753380975,0.6186175485305968,0.247782051159088,0.3777855377690882,0.1427219125474791,338,0.009661,XGBoost
XGBoost_grid_1_AutoML_1_20221211_171225_model_14,0.8262333539397312,0.5014381717769029,0.624184062357023,0.2496961355592893,0.4121816390749399,0.169893703590504,483,0.014269,XGBoost
XGBoost_grid_1_AutoML_1_20221211_171225_model_24,0.82609559043433,0.5056186540015073,0.6234342185636262,0.2535267021422225,0.4162082394585192,0.17322929859316,408,0.010545,XGBoost
XGBoost_grid_1_AutoML_1_20221211_171225_model_17,0.8260652911823508,0.5074747591841414,0.6226222723898291,0.2532686135498255,0.416247120455926,0.1732616652878501,271,0.011943,XGBoost
GBM_grid_1_AutoML_1_20221211_171225_model_8,0.8258588639044794,0.4311866530346178,0.6272811075139698,0.2521290129070453,0.37662158467634,0.1418438180441175,516,0.024337,GBM
GBM_grid_1_AutoML_1_20221211_171225_model_2,0.8254394699418343,0.4340036859313992,0.6266704266418871,0.2610860385406485,0.377526108183368,0.1425259623600801,430,0.021408,GBM
GBM_grid_1_AutoML_1_20221211_171225_model_18,0.8248443839137566,0.4356529442227464,0.6205447622912973,0.2579139902327418,0.3784948726644661,0.1432583686332904,373,0.024791,GBM
GBM_grid_1_AutoML_1_20221211_171225_model_16,0.8247534861578195,0.4359976887330244,0.6340481080266964,0.2617587255306293,0.3778536279636534,0.142773364165295,351,0.020752,GBM
GBM_5_AutoML_1_20221211_171225,0.8240204186441106,0.4366503036905834,0.625346571662366,0.2691687454714607,0.3782480990176358,0.1430716244104552,364,0.026581,GBM
GBM_grid_1_AutoML_1_20221211_171225_model_3,0.8237376982857164,0.4344458192392288,0.6269883490274087,0.2657290174410341,0.3779715617848341,0.1428625015180666,446,0.024071,GBM
XGBoost_grid_1_AutoML_1_20221211_171225_model_11,0.8237239655312222,0.4374152939607094,0.612835588441727,0.25757285117269,0.3790644890029944,0.1436898868231012,487,0.014683,XGBoost
GLM_1_AutoML_1_20221211_171225,0.8223910164243744,0.4389195101595205,0.60634246014719,0.246424688266473,0.3787161034382309,0.1434258870034368,393,0.013678,GLM
GBM_grid_1_AutoML_1_20221211_171225_model_13,0.8223657307176869,0.4386671181544471,0.6241530584973644,0.2604628330628925,0.3791738000614234,0.1437727706530203,404,0.019627,GBM
GBM_grid_1_AutoML_1_20221211_171225_model_15,0.8218473737305921,0.437738423387731,0.6211503020313882,0.2652671173335263,0.3791346032700335,0.1437430473967257,335,0.018396,GBM
GBM_grid_1_AutoML_1_20221211_171225_model_17,0.8209774146324025,0.4389386411749727,0.6188957871039923,0.2618156183706762,0.3794658908957283,0.1439943623532888,327,0.024907,GBM
GBM_grid_1_AutoML_1_20221211_171225_model_7,0.8193076860701041,0.440165687657252,0.6216385222632632,0.266603118163595,0.3804216298906215,0.144720616488637,392,0.038957,GBM
XGBoost_grid_1_AutoML_1_20221211_171225_model_2,0.8181072689431359,0.4466465278034378,0.6106629810380132,0.2583662992101268,0.3830648020758918,0.1467386425894421,420,0.01659,XGBoost
XGBoost_grid_1_AutoML_1_20221211_171225_model_16,0.8178925584165218,0.4476103530441833,0.6087904592098493,0.2640943836957763,0.3837399874109153,0.1472563779381294,579,0.016618,XGBoost
XGBoost_grid_1_AutoML_1_20221211_171225_model_23,0.8175664599923446,0.4456993764507788,0.6037563534430764,0.2645159574607221,0.383622698873549,0.1471663750910256,442,0.016378,XGBoost
GBM_grid_1_AutoML_1_20221211_171225_model_9,0.8175161065591995,0.4422337386849834,0.6148825288835973,0.2672782029361065,0.3806346129731852,0.1448827085932464,454,0.019846,GBM
XGBoost_grid_1_AutoML_1_20221211_171225_model_22,0.8172078825138874,0.4471685636642868,0.6089297060765778,0.2672829985011679,0.3832356016916707,0.1468695264039768,387,0.009123,XGBoost
GBM_grid_1_AutoML_1_20221211_171225_model_12,0.8171180746591007,0.4423199268891296,0.6096101832552856,0.2581980184725166,0.381187189191181,0.1453036732034732,535,0.017271,GBM
XGBoost_grid_1_AutoML_1_20221211_171225_model_4,0.8169460882575793,0.4480979741247531,0.6056870948527553,0.2715091992016692,0.3839133245077191,0.1473894407345692,440,0.010053,XGBoost
XGBoost_3_AutoML_1_20221211_171225,0.8168887594570723,0.5060753786869161,0.6151106986432284,0.2707392930290794,0.4151652928916998,0.1723622204218509,335,0.008783,XGBoost
GBM_2_AutoML_1_20221211_171225,0.8168078887917182,0.4447606099780278,0.6117619124673228,0.26450898209336,0.3815952126592755,0.1456149063244777,539,0.018095,GBM
GBM_grid_1_AutoML_1_20221211_171225_model_10,0.8155261650389356,0.444031930233908,0.6116613375990415,0.2695547884589059,0.3816205423396612,0.1456342383356171,377,0.018042,GBM
GBM_3_AutoML_1_20221211_171225,0.8152724360511399,0.4474882224471938,0.6083868920505117,0.2718858690392216,0.3824865532584816,0.1462959634235533,437,0.023866,GBM
XGBoost_grid_1_AutoML_1_20221211_171225_model_20,0.8152325456690379,0.5108832932416686,0.6059904571027181,0.2608251162052606,0.4159026701317524,0.1729750310227212,376,0.016702,XGBoost
GBM_grid_1_AutoML_1_20221211_171225_model_5,0.8141792651973637,0.4463203026303944,0.6077298006266614,0.266294894118283,0.3835222593845469,0.1470893234434277,435,0.029557,GBM
XGBoost_grid_1_AutoML_1_20221211_171225_model_25,0.8130730155297835,0.5123279640012505,0.6040198794203203,0.2685455399937047,0.4174380137630975,0.1742544953344799,353,0.009914,XGBoost
XRT_1_AutoML_1_20221211_171225,0.812702885099133,0.4726375954587174,0.6008415875997756,0.2624787142305341,0.3969848061951511,0.1575969363498016,824,0.022463,DRF
DeepLearning_grid_1_AutoML_1_20221211_171225_model_1,0.8108814422967096,0.4630536733850094,0.5704997057665686,0.2603420720154364,0.3894843865893292,0.151698087396866,46753,0.018137,DeepLearning
XGBoost_1_AutoML_1_20221211_171225,0.809559610181595,0.5177717462278723,0.5985328942779423,0.2654894571681926,0.4175809576823117,0.1743738562188765,1022,0.010123,XGBoost
